source_table,trade_id,captured_at,confidence,tech_score,fund_score,sent_score,pos_score,macro_score,rsi14,macd_signal,atr_pct,reward_risk,direction_buy,mtf_count,ribbon_aligned,month_sin,month_cos,grade_num,rsi_extreme,bb_pos_num,above_200ma,dxy_direction_num,market_regime_num,patience_score,day_of_week,hour_sin,hour_cos,corr_agreement_count,atr_percentile_6m,consecutive_weeks_trending,cot_momentum_num,fund_alignment_num,fund_aligned_count,rr_over_2,high_conf,ribbon_state_num,divergence_present,hour_auckland,vix_level,is_ranging,fund_tail_high,mtf_full_agree,entry_candle_type_num,entry_candle_body_ratio,entry_candle_vs_avg,dist_weekly_open_pips,dist_round_number_pips,new_20d_extreme,inside_bars_before,cot_weeks_in_dir,cot_accel,us10y_dir,gold_dir,sp500_dir,vix_vs_20d,atr_5d_vs_20d,atr_expanding,base_ccy_strength,quote_ccy_strength,monthly_trend_aligned,hhhl_aligned,kill_zone_entry,market_structure_break,divergence_type,checklist_score,hhhl_x_monthly,rsi_x_fibonacci,momentum_x_cot,kill_zone_x_confluence,currency_strength_x_trend,t1_reached,t2_reached,max_target_reached,pips_at_t1,trade_closed_at_t1_only,fund_consecutive_losses,fund_drawdown_pct,fund_sizing_mode_num,open_trades_count,regime_pair_bonus,pair_win_rate,pair_n_samples
research,8,2026-06-10 15:01:58,7.0,7.0,5.0,6.0,5.0,5.0,30.8,-1.0,0.3882,1.35,1.0,4.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research,9,2026-06-10 15:01:58,5.0,6.0,4.0,6.0,5.0,4.0,33.3,-1.0,0.6494,1.5,1.0,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research,10,2026-06-10 15:01:58,5.0,5.0,4.0,6.0,4.0,5.0,59.4,-1.0,0.4841,1.5,0.0,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research,11,2026-06-10 15:01:58,5.0,5.0,3.0,7.0,6.0,4.0,38.4,-1.0,0.2993,1.5,1.0,3.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research,12,2026-06-10 15:01:58,5.0,6.0,5.0,7.0,4.0,5.0,66.2,1.0,0.3547,1.5,0.0,1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,529,2026-06-10 17:12:09,5.0,6.0,6.0,5.0,4.0,5.0,68.3,1.0,0.521,1.5,0.0,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,530,2026-06-10 17:12:12,4.0,5.0,3.0,6.0,4.0,3.0,31.9,-1.0,0.6499,1.5,1.0,3.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,531,2026-06-10 17:12:16,5.0,6.0,4.0,6.0,3.0,4.0,69.6,1.0,0.3384,1.5,0.0,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,532,2026-06-10 17:12:20,4.0,5.0,3.0,6.0,4.0,3.0,39.0,-1.0,0.4032,1.5,1.0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,533,2026-06-10 17:12:25,5.0,5.0,7.0,6.0,6.0,4.0,39.2,-1.0,0.5718,1.5,1.0,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,534,2026-06-10 17:12:28,5.0,5.0,6.0,7.0,4.0,5.0,49.4,-1.0,0.3898,1.5,0.0,3.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,535,2026-06-10 17:12:32,5.0,5.0,4.0,7.0,3.0,5.0,30.6,-1.0,0.321,1.5,1.0,4.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
