id,pair,direction,closed_at,outcome_if_extended,days_to_resolve
645,EUR/AUD,SELL,2026-07-07 05:11:26,TARGET,3.0
646,EUR/USD,BUY,2026-07-07 05:11:26,STOP,15.0
648,EUR/CAD,SELL,2026-07-07 05:11:26,TARGET,1.0
654,EUR/NZD,SELL,2026-07-07 05:11:26,TARGET,1.0
657,EUR/NZD,SELL,2026-07-07 05:11:26,TARGET,1.0
662,EUR/JPY,SELL,2026-07-07 05:11:26,UNRESOLVED,
664,USD/JPY,SELL,2026-07-10 05:10:56,STOP,9.0
669,USD/CHF,SELL,2026-07-10 05:10:56,STOP,1.0
670,CHF/JPY,SELL,2026-07-10 05:10:56,TARGET,1.0
673,USD/CAD,SELL,2026-07-07 05:11:26,TARGET,4.0
675,EUR/AUD,SELL,2026-07-07 05:11:26,TARGET,5.0
676,EUR/USD,BUY,2026-07-07 05:11:27,STOP,15.0
678,EUR/CAD,SELL,2026-07-07 05:11:27,TARGET,4.0
689,USD/JPY,SELL,2026-07-12 18:10:45,STOP,9.0
698,USD/CAD,SELL,2026-07-08 05:11:10,TARGET,2.0
701,EUR/USD,BUY,2026-07-08 05:11:10,TARGET,6.0
703,EUR/CAD,SELL,2026-07-08 05:11:10,TARGET,3.0
710,EUR/JPY,SELL,2026-07-08 05:11:10,STOP,6.0
712,USD/JPY,SELL,2026-07-12 18:10:45,STOP,7.0
721,USD/CAD,SELL,2026-07-08 05:11:11,TARGET,4.0
722,GBP/NZD,SELL,2026-07-08 05:11:11,TARGET,2.0
725,GBP/AUD,SELL,2026-07-08 05:11:11,TARGET,9.0
740,EUR/JPY,SELL,2026-07-08 05:11:11,STOP,6.0
741,USD/JPY,SELL,2026-07-12 18:10:45,STOP,8.0
750,USD/CAD,SELL,2026-07-08 05:11:11,TARGET,6.0
751,GBP/NZD,SELL,2026-07-08 05:11:11,TARGET,2.0
754,GBP/AUD,SELL,2026-07-08 05:11:11,TARGET,9.0
762,EUR/JPY,SELL,2026-07-09 05:11:37,STOP,5.0
775,EUR/AUD,SELL,2026-07-09 05:11:37,TARGET,1.0
777,GBP/AUD,SELL,2026-07-09 05:11:37,TARGET,8.0
781,GBP/USD,SELL,2026-07-09 05:11:37,STOP,1.0
804,USD/CAD,SELL,2026-07-09 05:11:37,TARGET,3.0
805,GBP/NZD,SELL,2026-07-09 05:11:37,TARGET,1.0
807,EUR/USD,BUY,2026-07-09 05:11:37,STOP,13.0
808,GBP/AUD,SELL,2026-07-09 05:11:37,TARGET,4.0
809,EUR/CAD,SELL,2026-07-09 05:11:37,TARGET,2.0
812,GBP/USD,SELL,2026-07-09 05:11:38,STOP,1.0
813,AUD/USD,BUY,2026-07-12 18:10:46,TARGET,2.0
815,AUD/USD,BUY,2026-07-12 18:10:46,TARGET,2.0
816,GBP/USD,SELL,2026-07-09 05:11:38,STOP,1.0
823,GBP/CAD,SELL,2026-07-09 05:11:38,UNRESOLVED,
830,CHF/JPY,SELL,2026-07-09 05:11:38,TARGET,3.0
833,USD/CAD,SELL,2026-07-09 05:11:38,TARGET,3.0
834,GBP/NZD,SELL,2026-07-09 05:11:38,TARGET,1.0
836,EUR/USD,BUY,2026-07-09 05:11:38,STOP,10.0
837,GBP/AUD,SELL,2026-07-09 05:11:38,TARGET,11.0
838,EUR/CAD,SELL,2026-07-09 05:11:38,TARGET,2.0
840,AUD/USD,BUY,2026-07-13 05:10:55,TARGET,2.0
842,GBP/USD,SELL,2026-07-10 05:10:56,STOP,3.0
858,AUD/CAD,SELL,2026-07-13 05:10:56,TARGET,4.0
861,EUR/AUD,SELL,2026-07-10 05:10:56,TARGET,2.0
862,EUR/USD,BUY,2026-07-10 05:10:56,STOP,2.0
863,GBP/AUD,SELL,2026-07-10 05:10:56,UNRESOLVED,
864,EUR/CAD,SELL,2026-07-10 05:10:56,TARGET,1.0
867,EUR/USD,SELL,2026-07-10 05:10:57,TARGET,1.0
874,GBP/CAD,SELL,2026-07-12 18:10:46,UNRESOLVED,
883,AUD/CAD,SELL,2026-07-12 18:10:46,TARGET,5.0
886,EUR/AUD,BUY,2026-07-12 18:10:46,STOP,2.0
887,EUR/USD,BUY,2026-07-12 18:10:46,STOP,9.0
917,EUR/USD,BUY,2026-07-12 18:10:46,STOP,9.0
927,AUD/JPY,SELL,2026-07-13 05:10:57,STOP,1.0
928,GBP/CAD,SELL,2026-07-16 05:10:57,UNRESOLVED,
937,AUD/CAD,SELL,2026-07-16 05:10:57,TARGET,1.0
941,EUR/USD,BUY,2026-07-13 05:10:57,STOP,8.0
950,GBP/JPY,SELL,2026-07-13 05:10:57,STOP,2.0
955,GBP/CAD,SELL,2026-07-13 05:10:57,TARGET,8.0
958,EUR/CHF,SELL,2026-07-13 05:10:57,STOP,1.0
960,USD/CHF,SELL,2026-07-13 05:10:57,STOP,1.0
963,AUD/CHF,SELL,2026-07-13 05:10:57,STOP,1.0
964,USD/CAD,SELL,2026-07-13 05:10:57,UNRESOLVED,
966,EUR/AUD,BUY,2026-07-13 05:10:57,STOP,2.0
967,EUR/USD,BUY,2026-07-13 05:10:57,STOP,8.0
968,GBP/AUD,SELL,2026-07-13 05:10:58,TARGET,6.0
972,GBP/USD,SELL,2026-07-13 05:10:58,STOP,2.0
975,GBP/USD,SELL,2026-07-13 05:10:58,STOP,2.0
978,GBP/JPY,SELL,2026-07-13 05:10:58,STOP,2.0
983,AUD/JPY,SELL,2026-07-13 05:10:58,STOP,3.0
984,GBP/CAD,SELL,2026-07-13 05:10:58,TARGET,8.0
986,EUR/GBP,BUY,2026-07-13 05:10:58,STOP,2.0
987,USD/JPY,SELL,2026-07-12 18:10:47,STOP,7.0
991,AUD/CHF,SELL,2026-07-13 05:10:58,STOP,1.0
994,USD/CAD,SELL,2026-07-13 05:10:58,UNRESOLVED,
995,EUR/AUD,SELL,2026-07-13 05:10:58,TARGET,2.0
997,EUR/USD,BUY,2026-07-13 05:10:58,STOP,8.0
1005,EUR/JPY,SELL,2026-07-14 05:10:08,STOP,6.0
1020,EUR/USD,BUY,2026-07-14 05:10:09,STOP,7.0
1021,GBP/AUD,SELL,2026-07-17 05:11:03,TARGET,1.0
1033,EUR/JPY,SELL,2026-07-14 05:10:09,STOP,6.0
1035,GBP/CAD,SELL,2026-07-14 05:10:09,UNRESOLVED,
1048,EUR/USD,BUY,2026-07-14 05:10:09,STOP,7.0
1064,EUR/JPY,SELL,2026-07-14 05:10:09,STOP,2.0
1068,EUR/GBP,BUY,2026-07-14 05:10:09,STOP,1.0
1069,USD/JPY,SELL,2026-07-14 05:10:09,STOP,5.0
1079,EUR/USD,BUY,2026-07-14 05:10:10,TARGET,2.0
1082,EUR/USD,BUY,2026-07-19 18:10:49,STOP,7.0
1089,EUR/JPY,SELL,2026-07-19 18:10:49,STOP,4.0
1092,GBP/USD,SELL,2026-07-15 05:11:03,STOP,1.0
1097,EUR/GBP,BUY,2026-07-15 05:11:03,STOP,1.0
1104,GBP/JPY,SELL,2026-07-15 05:11:03,STOP,1.0
1111,AUD/CAD,BUY,2026-07-15 05:11:03,STOP,10.0
1124,EUR/USD,BUY,2026-07-19 18:10:49,STOP,4.0
1133,USD/JPY,SELL,2026-07-19 18:10:49,STOP,4.0
1138,EUR/JPY,SELL,2026-07-19 18:10:50,STOP,3.0
1151,AUD/CAD,SELL,2026-07-16 05:10:57,TARGET,1.0
1165,EUR/USD,SELL,2026-07-20 05:10:54,TARGET,3.0
1173,EUR/USD,BUY,2026-07-20 05:10:54,STOP,3.0
1175,EUR/USD,BUY,2026-07-22 05:10:56,STOP,4.0
1188,GBP/AUD,SELL,2026-07-22 05:10:56,TARGET,1.0
1200,AUD/USD,BUY,2026-07-22 05:10:56,TARGET,1.0
1204,EUR/JPY,BUY,2026-07-22 05:10:56,TARGET,1.0
1205,EUR/USD,BUY,2026-07-23 05:10:56,TARGET,5.0
1208,AUD/USD,BUY,2026-07-23 05:10:56,TARGET,1.0
1227,GBP/CHF,SELL,2026-07-20 05:10:56,UNRESOLVED,
1232,AUD/CAD,BUY,2026-07-20 05:10:56,TARGET,1.0
1233,AUD/CHF,SELL,2026-07-20 05:10:56,STOP,1.0
1237,CAD/CHF,SELL,2026-07-20 05:10:56,STOP,3.0
1246,EUR/USD,BUY,2026-07-24 05:11:03,TARGET,4.0
1253,EUR/JPY,BUY,2026-07-24 05:11:03,TARGET,1.0
1257,CAD/CHF,SELL,2026-07-21 05:11:07,STOP,2.0
1259,GBP/CHF,SELL,2026-07-21 05:11:07,STOP,12.0
1262,EUR/CHF,SELL,2026-07-21 05:11:07,STOP,1.0
1266,NZD/CHF,SELL,2026-07-21 05:11:07,STOP,12.0
1267,USD/CHF,SELL,2026-07-21 05:11:07,STOP,2.0
1271,GBP/NZD,BUY,2026-07-19 18:10:50,STOP,9.0
1273,EUR/CAD,BUY,2026-07-21 05:11:07,TARGET,7.0
1276,EUR/NZD,BUY,2026-07-19 18:10:50,STOP,1.0
1278,AUD/CAD,BUY,2026-07-24 05:11:04,TARGET,1.0
1279,AUD/NZD,BUY,2026-07-19 18:10:50,TARGET,4.0
1286,CAD/CHF,SELL,2026-07-22 05:10:56,STOP,1.0
1288,GBP/CHF,SELL,2026-07-22 05:10:56,STOP,11.0
1293,EUR/CHF,SELL,2026-07-22 05:10:56,STOP,1.0
1296,NZD/CHF,SELL,2026-07-22 05:10:56,UNRESOLVED,
1297,USD/CHF,SELL,2026-07-22 05:10:57,STOP,1.0
1298,USD/CAD,BUY,2026-07-22 05:10:57,STOP,12.0
1300,EUR/USD,BUY,2026-07-22 05:10:57,STOP,1.0
1305,EUR/CAD,BUY,2026-07-22 05:10:57,TARGET,6.0
1306,GBP/JPY,SELL,2026-07-22 05:10:57,TARGET,6.0
1307,GBP/CAD,SELL,2026-07-22 05:10:57,UNRESOLVED,
1309,EUR/GBP,BUY,2026-07-20 05:10:57,UNRESOLVED,
1310,EUR/CHF,BUY,2026-07-22 05:10:57,TARGET,1.0
1311,GBP/AUD,SELL,2026-07-22 05:10:57,TARGET,1.0
1312,AUD/USD,SELL,2026-07-25 02:13:53,TARGET,3.0
1313,NZD/CAD,SELL,2026-07-22 05:10:57,TARGET,1.0
1314,USD/CHF,BUY,2026-07-20 05:10:57,TARGET,1.0
1315,GBP/USD,SELL,2026-07-22 05:10:57,TARGET,1.0
1316,CHF/JPY,SELL,2026-07-22 05:10:57,TARGET,1.0
1317,EUR/USD,SELL,2026-07-22 05:10:57,TARGET,1.0
1318,GBP/NZD,SELL,2026-07-22 05:10:58,TARGET,1.0
1319,GBP/USD,SELL,2026-07-23 05:10:56,UNRESOLVED,
1320,NZD/USD,SELL,2026-07-23 05:10:56,UNRESOLVED,
1325,GBP/CAD,SELL,2026-07-23 05:10:57,TARGET,1.0
1326,GBP/CHF,SELL,2026-07-23 05:10:57,STOP,13.0
1327,EUR/JPY,SELL,2026-07-26 18:10:48,STOP,4.0
1336,NZD/CHF,SELL,2026-07-23 05:10:57,UNRESOLVED,
1337,USD/CAD,BUY,2026-07-23 05:10:57,TARGET,1.0
1338,CHF/JPY,SELL,2026-07-23 05:10:57,TARGET,2.0
1339,EUR/USD,SELL,2026-07-23 05:10:57,TARGET,1.0
