pair,bar_time,direction,bucket,ribbon_status,rib_against,rib_strongly_against,hf_conflict,status,gross_pips,net_pips,bars_to_resolve,hours_held,stop_pips
NZD/CHF,2026-08-20 12:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.4,2,8.0,15
NZD/CHF,2026-08-20 16:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-20 16:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-08-20 20:00,BUY,clean,NEUTRAL,False,False,False,WIN,40.0,37.1,33,132.0,20
NZD/CHF,2026-08-20 20:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-20.0,-25.7,3,12.0,20
NZD/CHF,2026-08-21 00:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-20.0,-23.6,24,96.0,20
NZD/CHF,2026-08-21 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-20.0,-25.7,4,16.0,20
NZD/CHF,2026-08-21 04:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-18.7,23,92.0,15
NZD/CHF,2026-08-21 04:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.6,2,8.0,15
NZD/CHF,2026-08-21 08:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-19.7,10,40.0,15
NZD/CHF,2026-08-21 08:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,22.9,22,88.0,15
NZD/CHF,2026-08-21 12:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-19.7,9,36.0,15
NZD/CHF,2026-08-21 12:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.0,21,84.0,15
NZD/CHF,2026-08-21 16:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-19.8,8,32.0,15
NZD/CHF,2026-08-21 16:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.1,20,80.0,15
NZD/CHF,2026-08-21 20:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-19.9,7,28.0,15
NZD/CHF,2026-08-21 20:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.1,19,76.0,15
NZD/CHF,2026-08-23 20:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.0,6,24.0,15
NZD/CHF,2026-08-23 20:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.2,18,72.0,15
NZD/CHF,2026-08-24 00:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
