pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,SELL,2008-05-23,base,REVERSING,EUR,-0.024408817291259766,0.0,-0.015714049339294434
EUR/USD,BUY,2008-06-13,base,REVERSING,EUR,0.025892019271850586,0.03839826583862305,0.05219149589538574
EUR/USD,SELL,2008-06-27,base,REVERSING,EUR,-0.0032935142517089844,0.013793230056762695,-0.0011653900146484375
EUR/USD,SELL,2008-07-04,base,REVERSING,EUR,0.023508310317993164,0.014000892639160156,-0.06649720668792725
EUR/USD,SELL,2008-07-11,base,REVERSING,EUR,-0.009507417678833008,-0.027596592903137207,-0.137404203414917
EUR/USD,BUY,2008-08-01,base,REVERSING,EUR,-0.04739868640899658,0.00011324882507324219,-0.02529454231262207
EUR/USD,BUY,2008-08-08,base,REVERSING,EUR,-0.04739868640899658,0.00011324882507324219,-0.02529454231262207
EUR/USD,BUY,2008-08-15,base,REVERSING,EUR,-0.013204216957092285,-0.04994618892669678,0.004498124122619629
EUR/USD,SELL,2008-10-10,base,UNWINDING,EUR,0.002499818801879883,-0.07680702209472656,-0.06839287281036377
EUR/USD,SELL,2009-04-03,base,REVERSING,EUR,-0.031316280364990234,-0.04441344738006592,-0.022103309631347656
EUR/USD,SELL,2009-04-10,base,REVERSING,EUR,-0.013097167015075684,0.008210301399230957,0.0463104248046875
EUR/USD,SELL,2009-04-17,base,REVERSING,EUR,0.02130746841430664,0.02231013774871826,0.04570662975311279
EUR/USD,BUY,2009-05-01,base,REVERSING,EUR,0.03709745407104492,0.02339649200439453,0.08890330791473389
EUR/USD,SELL,2009-05-22,base,REVERSING,EUR,0.015403509140014648,-0.0031108856201171875,-0.005605101585388184
EUR/USD,SELL,2009-05-29,quote,REVERSING,USD,-0.018514394760131836,-0.015599608421325684,-0.010405182838439941
EUR/USD,SELL,2009-06-05,base,UNWINDING,EUR,0.0029147863388061523,-0.002494215965270996,-0.0011897087097167969
EUR/USD,SELL,2009-06-12,quote,REVERSING,USD,-0.0054090023040771484,0.005194425582885742,-0.006711125373840332
EUR/USD,BUY,2009-08-14,base,UNWINDING,EUR,0.011393547058105469,0.015300869941711426,0.037305474281311035
EUR/USD,BUY,2009-10-30,base,UNWINDING,EUR,0.011594772338867188,0.017594099044799805,0.02579653263092041
EUR/USD,BUY,2009-11-06,base,UNWINDING,EUR,0.005999326705932617,0.0015007257461547852,0.0008161067962646484
EUR/USD,BUY,2009-11-20,base,UNWINDING,EUR,0.012701034545898438,-0.0006846189498901367,-0.05148661136627197
EUR/USD,BUY,2009-11-27,base,UNWINDING,EUR,-0.013385653495788574,-0.03719031810760498,-0.05918753147125244
EUR/USD,BUY,2009-12-04,quote,REVERSING,USD,-0.023804664611816406,-0.050801992416381836,-0.04671359062194824
EUR/USD,BUY,2009-12-11,base,REVERSING,EUR,-0.02699732780456543,-0.02199721336364746,-0.020793676376342773
