source,scope,pair,lag_weeks,threshold,n_fire,n_no_fire,hit_rate_fire,hit_rate_no_fire,mean_fwd_return_raw,p_value
policy_rate,aggregate,ALL,1,1.0,16554,21957,0.43119487737102813,0.4357152616477661,0.01669768000896302,0.18777536300132947
policy_rate,aggregate,ALL,1,1.5,11604,26907,0.4319200275766977,0.43457092949790016,0.017683440921471803,0.3150352789257025
policy_rate,aggregate,ALL,1,2.0,6333,32178,0.43754934470235274,0.4330287774255703,0.012616298962181522,0.25349666438939067
policy_rate,aggregate,ALL,2,1.0,16554,21954,0.42394587410897666,0.4380978409401476,0.03589776680602592,0.002756351264917023
policy_rate,aggregate,ALL,2,1.5,11604,26904,0.42786970010341263,0.4338016651798989,0.037893015163206145,0.14046210826599226
policy_rate,aggregate,ALL,2,2.0,6333,32175,0.43028580451602716,0.4323543123543124,0.03844213770423364,0.38065606806631025
policy_rate,aggregate,ALL,4,1.0,16554,21948,0.42539567476138695,0.43771642063058136,0.06688674050093532,0.007848301748401343
policy_rate,aggregate,ALL,4,1.5,11604,26898,0.426749396759738,0.4348650457283069,0.07776152352060543,0.07011215049799735
policy_rate,aggregate,ALL,4,2.0,6333,32169,0.42160113690194223,0.4345487892070005,0.08939538157496353,0.02864399168609677
policy_rate,aggregate,ALL,8,1.0,16554,21936,0.42158994804880995,0.43686177972283,0.1287020718877091,0.001367807425446177
policy_rate,aggregate,ALL,8,1.5,11604,26886,0.42295760082730094,0.4334597932009224,0.1542675049936348,0.028085972952174743
policy_rate,aggregate,ALL,8,2.0,6333,32157,0.4201800094741828,0.4322853500015549,0.18165839776766163,0.03766636211620855
policy_rate,per_pair,AUD/CAD,4,1.5,458,923,0.48034934497816595,0.41170097508125675,-0.0006216898495453414,0.0076957421455579045
policy_rate,per_pair,AUD/CHF,4,1.5,394,961,0.3934010152284264,0.4380853277835588,-5.885867903075242e-05,0.06539861406479408
policy_rate,per_pair,AUD/JPY,4,1.5,483,898,0.39751552795031053,0.4209354120267261,0.5445805109312322,0.19960451417371217
policy_rate,per_pair,AUD/NZD,4,1.5,540,841,0.4425925925925926,0.43638525564803804,0.0018826864383838795,0.41027606241065884
policy_rate,per_pair,AUD/USD,4,1.5,548,833,0.4051094890510949,0.4129651860744298,-0.001362384888377503,0.38575238211465024
policy_rate,per_pair,CAD/CHF,4,1.5,349,1006,0.37249283667621774,0.40556660039761433,-0.003167334805245386,0.1382788027118511
policy_rate,per_pair,CAD/JPY,4,1.5,453,928,0.3487858719646799,0.44719827586206895,0.06862450067044357,0.00024618665415121477
policy_rate,per_pair,CHF/JPY,4,1.5,391,964,0.4322250639386189,0.43049792531120334,0.7219470480213994,0.47680708506260305
policy_rate,per_pair,EUR/AUD,4,1.5,354,1027,0.4209039548022599,0.4595910418695229,0.00014155429635344253,0.1035069282955704
policy_rate,per_pair,EUR/CAD,4,1.5,402,979,0.3582089552238806,0.44126659856996936,0.0056591291925800384,0.002230207080350377
policy_rate,per_pair,EUR/CHF,4,1.5,307,1048,0.4592833876221498,0.5047709923664122,-0.004618145161420592,0.0804663744591787
policy_rate,per_pair,EUR/GBP,4,1.5,355,1030,0.523943661971831,0.4883495145631068,0.001921098165109124,0.12369676516508932
policy_rate,per_pair,EUR/JPY,4,1.5,383,998,0.4908616187989556,0.4148296593186373,0.39360347180080163,0.005372504488512231
policy_rate,per_pair,EUR/NZD,4,1.5,351,1030,0.45014245014245013,0.3932038834951456,-0.0009578058862278605,0.030413167702874944
policy_rate,per_pair,EUR/USD,4,1.5,464,921,0.4482758620689655,0.41368078175895767,-0.00023041203104216476,0.10950302824996916
policy_rate,per_pair,GBP/AUD,4,1.5,423,958,0.5437352245862884,0.4196242171189979,0.0002009924985556456,9.889404024798765e-06
policy_rate,per_pair,GBP/CAD,4,1.5,297,1084,0.4175084175084175,0.4095940959409594,-0.001022158247051817,0.40300566483542
policy_rate,per_pair,GBP/CHF,4,1.5,297,1058,0.40404040404040403,0.43478260869565216,-0.0039468052411320235,0.1720355567918994
policy_rate,per_pair,GBP/JPY,4,1.5,412,969,0.42475728155339804,0.4200206398348813,-0.1048927677487864,0.43522147193696215
policy_rate,per_pair,GBP/NZD,4,1.5,342,1039,0.41228070175438597,0.4292589027911453,0.0007265196209065398,0.2908479554625498
policy_rate,per_pair,GBP/USD,4,1.5,359,1030,0.47075208913649025,0.3941747572815534,-0.004525102280640668,0.0055949575528448925
policy_rate,per_pair,NZD/CAD,4,1.5,466,915,0.4184549356223176,0.3737704918032787,-0.0010848665697891825,0.05362916384918015
policy_rate,per_pair,NZD/CHF,4,1.5,425,930,0.3270588235294118,0.46344086021505376,-0.0008796986411599551,1.1888037281249098e-06
policy_rate,per_pair,NZD/JPY,4,1.5,473,908,0.41226215644820297,0.42290748898678415,0.2993841030128915,0.35180391077244166
policy_rate,per_pair,NZD/USD,4,1.5,486,895,0.38271604938271603,0.4324022346368715,-0.0017190335218798477,0.03675143533330094
policy_rate,per_pair,USD/CAD,4,1.5,406,975,0.3472906403940887,0.49846153846153846,-0.0008167000533324745,1.3695626488452461e-07
policy_rate,per_pair,USD/CHF,4,1.5,452,903,0.4336283185840708,0.42524916943521596,-0.001815343325116993,0.3844124461109244
policy_rate,per_pair,USD/JPY,4,1.5,534,847,0.5280898876404494,0.5360094451003542,0.15436703971262727,0.38695253032679267
yield_10y,aggregate,ALL,1,1.0,15500,23161,0.4404516129032258,0.428565260567333,0.01697364745409258,0.010404376035940799
yield_10y,aggregate,ALL,1,1.5,10227,28434,0.4419673413513249,0.4302243792642611,0.025908996075773513,0.019928576298104073
yield_10y,aggregate,ALL,1,2.0,5103,33558,0.4493435234175975,0.4308957625603433,0.02177761338305151,0.0066121804522838445
yield_10y,aggregate,ALL,2,1.0,15500,23161,0.43787096774193546,0.42619057899054447,0.03726102538262644,0.011515214717899847
yield_10y,aggregate,ALL,2,1.5,10227,28434,0.4386428082526645,0.4280790602799465,0.050377395806499525,0.03214953855604441
yield_10y,aggregate,ALL,2,2.0,5103,33558,0.4426807760141093,0.42907801418439717,0.06309174743792881,0.033760284639892335
yield_10y,aggregate,ALL,4,1.0,15500,23161,0.44567741935483873,0.42433400975778246,0.08799742686363958,1.6553725302959066e-05
yield_10y,aggregate,ALL,4,1.5,10227,28434,0.4418695609660702,0.4296616726454245,0.11101372438149915,0.0163049918450473
yield_10y,aggregate,ALL,4,2.0,5103,33558,0.4426807760141093,0.43140234817331186,0.15405796272904645,0.06489165352745974
yield_10y,aggregate,ALL,8,1.0,15500,23161,0.4510967741935484,0.4181598376581322,0.16913724879487868,7.35108640625981e-11
yield_10y,aggregate,ALL,8,1.5,10227,28434,0.4520387210325609,0.4239290989660266,0.21332600102275887,4.275594041036612e-07
yield_10y,aggregate,ALL,8,2.0,5103,33558,0.4464040760337057,0.42907801418439717,0.3039990309965323,0.009948664192068302
yield_10y,per_pair,AUD/CAD,4,1.5,428,953,0.530373831775701,0.4018887722980063,0.0006310541496098599,4.362494994691879e-06
yield_10y,per_pair,AUD/CHF,4,1.5,341,1040,0.40175953079178883,0.4528846153846154,-0.0006845324270186886,0.04943291105375802
yield_10y,per_pair,AUD/JPY,4,1.5,348,1033,0.3994252873563218,0.3998063891577928,0.5056831316016186,0.49499240173221803
yield_10y,per_pair,AUD/NZD,4,1.5,375,1006,0.39466666666666667,0.4224652087475149,6.71227773030599e-05,0.17553817763141444
yield_10y,per_pair,AUD/USD,4,1.5,369,1011,0.42276422764227645,0.39861523244312563,-0.0007819156982711337,0.20931041388595262
yield_10y,per_pair,CAD/CHF,4,1.5,345,1036,0.4028985507246377,0.42374517374517373,-0.003854870450669441,0.24830607414247052
yield_10y,per_pair,CAD/JPY,4,1.5,334,1047,0.2994011976047904,0.4059216809933142,0.4275588532407841,0.00023981180322674156
yield_10y,per_pair,CHF/JPY,4,1.5,470,911,0.42127659574468085,0.3918770581778266,0.33577962023146607,0.1455146445373734
yield_10y,per_pair,EUR/AUD,4,1.5,363,1018,0.44077134986225897,0.42730844793713163,-0.002769778582675398,0.328258723481489
yield_10y,per_pair,EUR/CAD,4,1.5,367,1014,0.444141689373297,0.4358974358974359,0.002858093064227611,0.39251620997975967
yield_10y,per_pair,EUR/CHF,4,1.5,346,1035,0.45664739884393063,0.47729468599033814,-0.00122644377581646,0.25270247725457684
yield_10y,per_pair,EUR/GBP,4,1.5,366,1015,0.5409836065573771,0.50935960591133,0.000638141332428312,0.14963518092159633
yield_10y,per_pair,EUR/JPY,4,1.5,424,957,0.4669811320754717,0.4169278996865204,0.361348476050035,0.041645735374406634
yield_10y,per_pair,EUR/NZD,4,1.5,392,989,0.45408163265306123,0.41354903943377147,-0.008652807498464778,0.08475700117220475
yield_10y,per_pair,EUR/USD,4,1.5,385,995,0.4909090909090909,0.40804020100502514,-0.00260167865010051,0.002652416209441455
yield_10y,per_pair,GBP/AUD,4,1.5,346,1035,0.5057803468208093,0.41352657004830917,-0.008171735471383685,0.0013708616282465114
yield_10y,per_pair,GBP/CAD,4,1.5,349,1032,0.48424068767908307,0.41472868217054265,-0.0010096671588099787,0.011725033928690287
yield_10y,per_pair,GBP/CHF,4,1.5,316,1065,0.5,0.4460093896713615,-0.00302060344551183,0.045367416559346174
yield_10y,per_pair,GBP/JPY,4,1.5,335,1046,0.3701492537313433,0.42638623326959846,1.0561881677428289,0.0344153062156376
yield_10y,per_pair,GBP/NZD,4,1.5,325,1056,0.4707692307692308,0.4128787878787879,-0.008354585354144756,0.03250000355317495
yield_10y,per_pair,GBP/USD,4,1.5,362,1018,0.4281767955801105,0.42829076620825146,-0.0011439003997086162,0.49849845809247373
yield_10y,per_pair,NZD/CAD,4,1.5,375,1006,0.472,0.3866799204771372,-5.650520324707032e-07,0.00206984130426513
