source,,pair,publication_date,z,trend,widening,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
policy_rate,0,EUR/USD,2000-01-28,-0.6293052384837681,0.1899999999999995,False,0.0,0.0,0.0,0.0
policy_rate,1,EUR/USD,2000-02-04,-0.8510057155671036,-0.0600000000000005,True,0.0,0.0,0.0,0.0
policy_rate,2,EUR/USD,2000-02-11,-0.8566564534838431,0.2400000000000002,False,0.0,0.0,0.0,0.0
policy_rate,3,EUR/USD,2000-02-18,-0.8240744997790804,0.22999999999999954,False,0.0,0.0,0.0,0.0
policy_rate,4,EUR/USD,2000-02-25,-0.8695728423740574,0.35999999999999943,False,0.0,0.0,0.0,0.0
policy_rate,5,EUR/USD,2000-03-03,-0.8369886288826686,0.20000000000000018,False,0.0,0.0,0.0,0.0
policy_rate,6,EUR/USD,2000-03-10,-0.3951680733850974,-0.08000000000000007,True,0.0,0.0,0.0,0.0
policy_rate,7,EUR/USD,2000-03-17,-0.4111369051638488,-0.10999999999999943,True,0.0,0.0,0.0,0.0
policy_rate,8,EUR/USD,2000-03-24,-0.8432274891868302,-0.7700000000000005,True,0.0,0.0,0.0,0.0
policy_rate,9,EUR/USD,2000-03-31,-1.2029315542682786,-1.9299999999999997,True,0.0,0.0,0.0,0.0
policy_rate,10,EUR/USD,2000-04-07,-0.7497284240096949,-0.08999999999999986,True,0.0,0.0,0.0,0.0
policy_rate,11,EUR/USD,2000-04-14,-0.9966500040992867,-0.27000000000000046,True,0.0,0.0,0.0,0.0
policy_rate,12,EUR/USD,2000-04-21,-0.20581643216778886,-0.08000000000000007,True,0.0,0.0,0.0,0.0
policy_rate,13,EUR/USD,2000-04-28,-0.4463706043529114,0.020000000000000462,False,0.0,0.0,0.0,0.0
policy_rate,14,EUR/USD,2000-05-05,-0.19858102120744978,0.2599999999999998,False,0.0,0.0,0.0,0.0
policy_rate,15,EUR/USD,2000-05-12,-0.5447085056659808,0.09999999999999964,False,0.0,0.0,0.0,0.0
policy_rate,16,EUR/USD,2000-05-19,-1.3471299571009374,-0.3099999999999996,True,0.0,0.0,0.0,0.0
policy_rate,17,EUR/USD,2000-05-26,-1.1018331429421069,-0.16999999999999993,True,0.0,0.0,0.0,0.0
policy_rate,18,EUR/USD,2000-06-02,-0.6620582605981934,0.02999999999999936,False,0.0,0.0,0.0,0.0
policy_rate,19,EUR/USD,2000-06-09,-0.7164304891827805,-0.21999999999999975,True,0.0,0.0,0.0,0.0
policy_rate,20,EUR/USD,2000-06-16,-0.6885377631208129,-0.20000000000000018,True,0.0,0.0,0.0,0.0
policy_rate,21,EUR/USD,2000-06-23,-0.7839862479015449,-0.02999999999999936,True,0.0,0.0,0.0,0.0
policy_rate,22,EUR/USD,2000-06-30,-1.4822951143026957,-0.1900000000000004,True,0.0,0.0,0.0,0.0
policy_rate,23,EUR/USD,2000-07-07,-0.5654519304899334,0.03000000000000025,False,0.0,0.0,0.0,0.0
policy_rate,24,EUR/USD,2000-07-14,0.28610415799437383,0.5700000000000003,True,0.0,0.0,0.0,0.0
policy_rate,25,EUR/USD,2000-07-21,0.28411188963322465,0.1800000000000006,True,0.0,0.0,0.0,0.0
policy_rate,26,EUR/USD,2000-07-28,0.42838431217553236,0.3699999999999992,True,0.0,0.0,0.0,0.0
policy_rate,27,EUR/USD,2000-08-04,0.4251993924304606,0.25,True,0.0,0.0,0.0,0.0
policy_rate,28,EUR/USD,2000-08-11,0.2953906820358999,0.3600000000000003,True,0.0,0.0,0.0,0.0
policy_rate,29,EUR/USD,2000-08-18,0.4208731794560074,0.8199999999999994,True,0.0,0.0,0.0,0.0
policy_rate,30,EUR/USD,2000-08-25,0.20422330142470094,0.6100000000000003,True,0.0,0.0,0.0,0.0
policy_rate,31,EUR/USD,2000-09-01,0.2459819955839512,0.4200000000000008,True,0.0,0.0,0.0,0.0
policy_rate,32,EUR/USD,2000-09-08,0.28770730480950973,0.46999999999999975,True,0.0,0.0,0.0,0.0
policy_rate,33,EUR/USD,2000-09-15,0.1770822343563907,0.41000000000000014,True,0.0,0.0,0.0,0.0
policy_rate,34,EUR/USD,2000-09-22,0.3292267367216487,0.5299999999999994,True,0.0,0.0,0.0,0.0
policy_rate,35,EUR/USD,2000-09-29,0.06300981006088972,0.7600000000000007,True,0.0,0.0,0.0,0.0
policy_rate,36,EUR/USD,2000-10-06,0.9876609081425252,0.7400000000000002,True,0.0,0.0,0.0,0.0
policy_rate,37,EUR/USD,2000-10-13,0.9112951138488118,0.2999999999999998,True,0.0,0.0,0.0,0.0
policy_rate,38,EUR/USD,2000-10-20,0.8144554668997398,0.2599999999999998,True,0.0,0.0,0.0,0.0
policy_rate,39,EUR/USD,2000-10-27,0.7850598677654028,0.1800000000000006,True,0.0,0.0,0.0,0.0
policy_rate,40,EUR/USD,2000-11-03,0.8442889211819048,0.20999999999999996,True,0.0,0.0,0.0,0.0
policy_rate,41,EUR/USD,2000-11-10,1.3827846387737117,0.5199999999999996,True,0.0,0.0,0.0,0.0
